Alert Book for allief@tda on 7/19/23

Alert Book
Sent,Alert ID,Context,Trigger,Current,Options,Status
7/11/22 18:26:24,2039382174,UNH (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_StochRSI()."D" is greater than or equal to 80 and DIMinus("length" = 5) is less than or equal to 7 and StochRSIDivergence()."BearD" is true True,False,Reverse crossover: Silent,Active
7/14/23 09:30:10,2302166004,UNH (Day),DIPlus("length" = 5) is less than or equal to 13 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and StochRSIrtp()."FullK" is less than or equal to 22 and shared_rp_wsb_MACD()."Value" is less than or equal to -1 True,False,Reverse crossover: Silent,Active
4/14/23 09:30:09,2241662710,UNH (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_StochRSI()."K" is greater than or equal to 82 and DIMinus("length" = 5) is less than or equal to 9 True,False,Reverse crossover: Silent,Active
12/9/22 16:37:46,2152089505,UNH (3 Days),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 8.4 and StochRSIDivergence()."BearD" is true True,False,Reverse crossover: Silent,Active
7/14/23 09:38:29,2302199438,UNH (3 Days),DIPlus("length" = 5) is less than or equal to 12 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and StochRSIrtp()."FullK" is less than or equal to 9.5 and shared_rp_wsb_MACD()."Value" is less than or equal to 4 and shared_rp_wsb_StochRSI()."D" is less than or equal to 26 True,False,Reverse crossover: Silent,Active
9/2/22 09:30:06,2078724377,UHAL (Day),"DIPlus("length" = 5) is less than or equal to 9.82 and ( low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" * 1.00003 ) and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is less than or equal to 31.3 and DIMinus("length" = 5) is greater than or equal to 40.5 and ( BollingerBands("length" = 21)."LowerBand" is greater than or equal to BollingerBands("length" = 21)."LowerBand" from 1 bars ago * 1.0005 and BollingerBands("length" = 21)."LowerBand" is greater than or equal to BollingerBands("length" = 21)."LowerBand" from 1 bars ago * 0.9995 ) True",False,Reverse crossover: Silent,Active
4/28/23 09:30:10,2251270634,TWLO (Day),"DIPlus("length" = 5) from 1 bars ago is less than or equal to 8.7 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is less than or equal to 48 and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullD" is less than or equal to 29 True",False,Reverse crossover: Silent,Active
5/19/20 10:56:40,1482259934,TWLO (Day),"DIMinus("length" = 5) is less than or equal to 10 and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is greater than or equal to 80 and high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullD" is greater than or equal to 80 and BollingerBandTopIsFlattish() is true True",N/A,Reverse crossover: Silent,Active
4/29/23 16:36:50,2252006353,TTD (Day),DIPlus("length" = 5) is less than or equal to 10 True,False,Reverse crossover: Silent,Active
7/17/23 10:13:05,2303299111,TTD (3 Days),DIMinus("length" = 5) is less than or equal to 11.5 and shared_rp_wsb_StochRSI()."K" is greater than or equal to 90 and high is greater than or equal to shared_rp_wsb_BollingerBand()."UpperBand" and shared_rp_wsb_MACD()."Value" is greater than or equal to 1 False,True,Reverse crossover: Silent,Active
11/10/22 17:34:13,2132883777,TTD (3 Days),DIPlus("length" = 5) is less than or equal to 11.5 and shared_rp_wsb_StochRSI()."K" is less than or equal to 10 and low is less than or equal to shared_rp_wsb_BollingerBand()."LowerBand" True,False,Reverse crossover: Silent,Active
7/4/23 20:27:44,2295261713,TSLA (Day),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_StochRSI()."D" is greater than or equal to 90 and shared_rp_wsb_MACD()."Diff" is less than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago within 2 bars and DIMinus("length" = 5) is less than or equal to 8 and StochRSIaf("select" = "THREE_DAYS")."D" is greater than or equal to 78 True,False,Reverse crossover: Silent,Active
4/28/23 09:30:04,2251268575,TSLA (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."D" is less than or equal to 13.5 and shared_rp_wsb_MACD()."Diff" is greater than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago within 2 bars True,False,Reverse crossover: Silent,Active
7/4/23 19:09:22,2295250991,TSLA (3 Days),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."K" is less than or equal to 6  and StochRSIaf("select" = "WEEK")."D" is less than or equal to 25 and shared_rp_wsb_MACD()."Diff" is less than or equal to -2.5 and shared_rp_wsb_MACD()."Diff" is greater than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago within 3 bars True,False,Reverse crossover: Silent,Active
3/14/23 15:55:11,2219556657,TNA (Day),"StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is less than or equal to 6 and DIMinus("length" = 5) is greater than or equal to 41 and low  is less than or equal to ( BollingerBandwidth("length" = 21)."Bandwidth" * 0.0217 + BollingerBands("length" = 21)."LowerBand" ) True",False,Reverse crossover: Silent,Active
10/19/22 09:06:08,2115133508,TECL (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 6.1 and shared_rp_wsb_MACD()."Value" is less than or equal to -2.9 and MACDaf("select" = "THREE_DAYS")."Value" is less than or equal to -2 and MACDaf("select" = "WEEK")."Value" is less than or equal to -6 True,False,Reverse crossover: Silent,Active
11/16/22 09:31:45,2136500657,TECH (Day),high is greater than or equal to shared_rp_wsb_BollingerBand()."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 8 and shared_rp_wsb_MACD()."Value" is greater than or equal to 7 and shared_rp_wsb_StochRSI()."D" is greater than or equal to 70 True,False,Reverse crossover: Silent,Active
6/28/23 09:30:08,2292159716,TEAM (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."D" is less than or equal to 23 and shared_rp_wsb_StochRSI()."K" is less than or equal to 23 True,False,Reverse crossover: Silent,Active
2/3/21 06:32:29,1641103077,TDOC (Day),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 9.5 and StochRSIDivergence()."BearD" is true True,False,Reverse crossover: Silent,Active
5/15/23 09:30:09,2262303334,TDOC (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_DMI()."DIr" is less than or equal to 11.5 and shared_rp_wsb_StochRSI()."D" is less than or equal to 10 True,False,Reverse crossover: Silent,Active
3/14/23 09:30:13,2218682123,STZ (Day),BollingerPercentB("length" = 21)."PercentB" is less than or equal to 10 and shared_rp_wsb_StochRSI()."D" is less than or equal to 20 and shared_rp_wsb_DMI()."DIr" is less than or equal to 9 True,False,Reverse crossover: Silent,Active
10/17/22 09:30:11,2113063882,STZ (3 Days),low is less than or equal to shared_rp_wsb_BollingerBand()."LowerBand" and shared_rp_wsb_StochRSI()."D" is less than or equal to 14 and shared_rp_wsb_DMI()."DIr" is less than or equal to 8 True,False,Reverse crossover: Silent,Active
9/26/22 09:30:12,2095875350,SQ (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_DMI()."DIr" is less than or equal to 11.5 and shared_rp_wsb_DMI()."DIg" is greater than or equal to 40.5 and shared_rp_wsb_MACD()."Diff" is greater than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago within 2 bars True,False,Reverse crossover: Silent,Active
5/26/23 09:30:11,2271236847,SPX (4 hours),StraightLineInformation()."StraightLineInformationUp" is true True,False,Reverse crossover: Silent,Active
7/6/23 13:00:01,2296859806,SPX (4 hours),StraightLineInformation()."StraightLineInformationDown" is true True,False,Reverse crossover: Silent,Active
5/8/23 09:30:02,2257530674,SPWR (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 10 and shared_rp_wsb_MACD()."Avg" is less than or equal to -0.4 and MACDaf("select" = "THREE_DAYS")."Value" is less than or equal to -0.45 True,False,Reverse crossover: Silent,Active
12/19/22 14:38:14,2158354787,SPWR (Day),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 8.5 and shared_rp_wsb_MACD()."Avg" is greater than or equal to 1 and MACDaf("select" = "THREE_DAYS")."Value" is greater than or equal to 0.75 True,False,Reverse crossover: Silent,Active
5/23/23 09:30:10,2268120137,SPWR (3 Days),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 10 and shared_rp_wsb_MACD()."Avg" is less than or equal to -0.4 and MACDaf("select" = "THREE_DAYS")."Value" is less than or equal to -0.45 True,False,Reverse crossover: Silent,Active
12/19/22 14:06:58,2158311173,SPWR (3 Days),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 8.4  True,False,Reverse crossover: Silent,Active
6/15/22 09:30:00,2020642082,SOXL (Day),"StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5)."FullK" is less than or equal to 9 and shared_rp_wsb_MACD()."Value" is less than or equal to 1 and DIPlus("length" = 5) is less than or equal to 8 and shared_rp_wsb_MACD()."Diff" is less than or equal to 0 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" True",False,Reverse crossover: Silent,Active
11/10/21 09:30:04,1846492752,SOXL (Day),"StochRSI("k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is greater than or equal to 97.7 and high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and StochRSIrtp()."FullD" is greater than or equal to 94 and shared_rp_wsb_MACD()."Value" is greater than or equal to 1 and shared_rp_wsb_MACD()."Diff" is greater than or equal to 0.32 and DIMinus("length" = 5) is less than or equal to 8 and DIPlus("length" = 5) is greater than or equal to 42 True",False,Reverse crossover: Silent,Active
7/17/23 09:55:52,2303255719,SNPS (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 14 and shared_rp_wsb_MACD()."Value" is greater than or equal to 7.3 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 12.6 False,True,Reverse crossover: Silent,Active
10/14/22 09:30:15,2111843675,SNPS (Day),"low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 9.5 and shared_rp_wsb_MACD()."Diff" is greater than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago and DIaf("aggregation" = "Select", "select" = "THREE_DAYS")."DIr" is less than or equal to 11.2 True",False,Reverse crossover: Silent,Active
6/7/23 10:02:32,2278497871,SNPS (3 Days),DIMinus("length" = 5) is less than or equal to 9.5 and shared_rp_wsb_MACD()."Value" is greater than or equal to 15 and DIaf("select" = "WEEK")."DIg" is less than or equal to 7 True,False,Reverse crossover: Silent,Active
10/17/22 09:30:07,2113062094,SNPS (3 Days),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 12 and shared_rp_wsb_MACD()."Value" is less than or equal to -3 True,False,Reverse crossover: Silent,Active
7/6/23 13:50:49,2296921659,SNOW (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."K" is less than or equal to 10 and MACDaf("select" = "WEEK")."Value" is less than or equal to -11 True,N/A,Reverse crossover: Silent,Active
5/15/23 09:30:09,2262303329,SNOW (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_StochRSI()."D" is greater than or equal to 90 and shared_rp_wsb_StochRSI()."D" is greater than or equal to 80 True,False,Reverse crossover: Silent,Active
5/17/23 12:08:22,2264511294,SHW (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 11.3 and StochRSIrtp()."FullK" is less than or equal to 18 and StochRSIrtp()."FullD" is less than or equal to 30 True,False,Reverse crossover: Silent,Active
4/28/23 09:47:21,2251325764,RUT (Day),"DIPlus("length" = 5) is less than or equal to 11.07 and low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" within 2 bars and MACD("fast length" = 8, "slow length" = 13, "macd length" = 5, "average type" = "SIMPLE")."Value" is less than or equal to -6.95 True",False,Reverse crossover: Silent,Active
6/15/23 09:30:20,2284344207,RUT (4 hours),StraightLineInformation()."StraightLineInformationDown" is true True,False,Reverse crossover: Silent,Active
6/2/23 09:30:26,2275416627,RUT (4 hours),StraightLineInformation()."StraightLineInformationUp" is true True,False,Reverse crossover: Silent,Active
2/22/22 09:36:30,1928169933,ROKU (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_DMI()."DIr" is less than or equal to 9 and shared_rp_wsb_DMI()."DIg" is greater than or equal to 45.5 True,False,Reverse crossover: Silent,Active
6/15/23 09:30:10,2284342794,ROKU (Day),DIminus("length" = 5) is less than or equal to 14 and StochRSIrtp()."FullD" is greater than or equal to 95 and high is greater than or equal to BollingerBands("length" = 21)."UpperBand" True,False,Reverse crossover: Silent,Active
12/13/21 08:10:45,1871574976,RETL (Day),"DIMinus("length" = 5) is less than or equal to 10.1 and DIPlus("length" = 5) is greater than or equal to 36.96 and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is greater than or equal to 90.11 and BollingerBandCandleOutside() is true and shared_rp_wsb_MACD()."Diff" is greater than or equal to 0.8 True",False,Reverse crossover: Silent,Active
6/2/23 09:30:05,2275407290,RETL (Day),DIMinus("length" = 5) is greater than or equal to 34.63 and DIPlus("length" = 5) is less than or equal to 13.3 and shared_rp_wsb_StochRSI()."D" is less than or equal to 31 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" True,False,Reverse crossover: Silent,Active
7/18/23 13:34:30,2304543864,QQQ (Day),DIPlus("length" = 5) is greater than or equal to 45 and high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 9.8 False,True,Reverse crossover: Silent,Active
2/22/23 09:30:13,2202994179,PYPL (Day),DIPlus("length" = 5) is less than or equal to 9 and low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" True,False,Reverse crossover: Silent,Active
7/14/23 10:11:32,2302295561,PVH (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 9 and shared_rp_wsb_DMI()."DIr" is greater than or equal to 40 True,False,Reverse crossover: Silent,Active
3/13/23 09:42:59,2217269492,PSA (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 9 and StochRSIrtp()."FullK" is less than or equal to 11 True,False,Reverse crossover: Silent,Active
7/18/23 09:33:33,2304104653,PEN (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_DMI()."DIr" is less than or equal to 19.5 False,True,Reverse crossover: Silent,Active
10/24/22 14:40:06,2119106976,PBS (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and MACD_Divergences()."BullD" is true True,False,Reverse crossover: Silent,Active
3/16/23 12:27:25,2221730212,PAYX (Day),low is less than or equal to shared_rp_wsb_BollingerBand()."LowerBand" and shared_rp_wsb_DMI()."DIr" is less than or equal to 8.6 True,False,Reverse crossover: Silent,Active
7/18/23 11:19:40,2304346145,PAYX (Day),high is greater than or equal to shared_rp_wsb_BollingerBand()."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.6 and shared_rp_wsb_StochRSI()."D" is greater than or equal to 80 False,True,Reverse crossover: Silent,Active
10/17/22 09:30:11,2113063918,PAYX (3 Days),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 12.5 and shared_rp_wsb_StochRSI()."K" is less than or equal to 8.25 and shared_rp_wsb_MACD()."Diff" is less than or equal to -0.95 True,False,Reverse crossover: Silent,Active
5/4/23 09:30:13,2255478619,PANW (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."D" is less than or equal to 9.8 True,False,Reverse crossover: Silent,Active
6/7/23 09:30:13,2278385352,ORLY (Day),"DIPlus("length" = 5) is less than or equal to 8.25 and low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5, "slowing period" = 3)."FullK" is less than or equal to 15 and DIMinus("length" = 5) is greater than or equal to 21 and shared_rp_wsb_StochRSI()."D" is less than or equal to 20 True",False,Reverse crossover: Silent,Active
3/14/23 09:30:12,2218681679,OEX (Day),DIMinus("length" = 5) is greater than or equal to 42.03 within 2 bars and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_MACD()."Value" is less than or equal to -4.2 True,False,Reverse crossover: Silent,Active
1/28/23 08:59:37,2184161116,NVDA (Day),StochRSIrtp()."FullK" is less than or equal to 16 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIaf("select" = "THREE_DAYS")."DIr" is less than or equal to 17 and shared_rp_wsb_MACD()."Diff" is less than or equal to -2.3 True,False,Reverse crossover: Silent,Active
7/18/23 11:44:18,2304387665,NVDA (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 15 and shared_rp_wsb_MACD()."Diff" is greater than or equal to 2.55 and  DIMinus("length" = 5) is less than or equal to 9.6  False,True,Reverse crossover: Silent,Active
6/7/23 14:31:03,2278975173,NVDA (3 Days),StochRSIrtp()."FullK" is greater than or equal to 81 and high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIaf("select" = "WEEK")."DIg" is less than or equal to 18 and shared_rp_wsb_MACD()."Diff" is greater than or equal to 2.5 and shared_rp_wsb_StochRSI()."D" is greater than or equal to 59 and MACDaf("select" = "WEEK")."Diff" is greater than or equal to 3.1 and DIaf("select" = "MONTH")."DIg" is less than or equal to 15 True,False,Reverse crossover: Silent,Active
6/20/23 09:30:15,2286490684,NTES (Day),high is greater than or equal to BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 8 and DIPlus("length" = 5) is greater than or equal to 41 True,False,Reverse crossover: Silent,Active
7/17/23 09:30:11,2303170129,NSC (Day),"high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 8.8 and DIaf("aggregation" = "Select", "select" = "THREE_DAYS")."DIg" is less than or equal to 10 True",False,Reverse crossover: Silent,Active
3/17/23 09:30:10,2222407378,NSC (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 10.4 and shared_rp_wsb_MACD()."Value" is less than or equal to -1.7 True,False,Reverse crossover: Silent,Active
9/20/22 14:34:29,2091632531,NSC (3 Days),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_DMI()."DIr" is less than or equal to 6 and StochRSIDivergenceAF()."BullDivK" is true True,False,Reverse crossover: Silent,Active
7/18/23 09:55:51,2304177397,NOW (Day),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 10 and DIaf("select" = "THREE_DAYS")."DIg" is less than or equal to 16 and StochRSIaf("select" = "THREE_DAYS")."K" is greater than or equal to 80 False,True,Reverse crossover: Silent,Active
6/16/23 09:30:08,2285319441,NOW (3 Days),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and DIMinus("length" = 5) is less than or equal to 16 and DIaf("select" = "WEEK")."DIg" is less than or equal to 17 True,False,Reverse crossover: Silent,Active
2/27/23 09:30:08,2206396691,NFLX (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."D" is less than or equal to 13 True,False,Reverse crossover: Silent,Active
6/1/23 15:07:24,2275021569,NAIL (Day),"DIPlus("length" = 5) is less than or equal to 13 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."K" is less than or equal to 23 and DIaf()."DIr" is less than or equal to 13.5 and DIMinus("length" = 5) is greater than or equal to 34 and DIaf("aggregation" = "Select", "select" = "WEEK")."DIr" is less than or equal to 20 True",False,Reverse crossover: Silent,Active
9/28/22 09:30:05,2098332103,NAIL (Day),DIPlus("length" = 5) is less than or equal to 13 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_StochRSI()."K" is less than or equal to 23 and DIaf("chart time" = "WEEK")."DIr" is less than or equal to 20 and DIaf()."DIr" is less than or equal to 13.5 and DIMinus("length" = 5) is greater than or equal to 34 True,False,Reverse crossover: Silent,Active
7/18/23 14:59:51,2304644891,MSFT (Day),high is greater than or equal to reference BollingerBands("length" = 21)."UpperBand" and shared_rp_wsb_MACD()."Avg" is greater than or equal to 4 True,False,Reverse crossover: Silent,Active
1/9/23 09:30:01,2170371358,MSFT (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_MACD()."Avg" is less than or equal to -0.8 True,False,Reverse crossover: Silent,Active
5/23/22 09:30:01,2002177729,MSFT (3 Days),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and shared_rp_wsb_MACD()."Avg" is less than or equal to 0 and shared_rp_wsb_DMI()."DIr" is less than or equal to 9.2 True,False,Reverse crossover: Silent,Active
10/17/22 09:30:11,2113063980,MPWR (Day),low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 6 and shared_rp_wsb_StochRSI()."K" is less than or equal to 20 and shared_rp_wsb_MACD()."Diff" is greater than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago within 2 bars and DIaf()."DIr" is less than or equal to 15.25 and DIaf("chart time" = "WEEK")."DIr" is less than or equal to 22 True,False,Reverse crossover: Silent,Active
4/10/23 09:30:15,2237973204,MKL (Day),afBollingerBandLaminated()."BodyLaminatedUpper" is true True,False,Reverse crossover: Silent,Active
5/31/23 15:56:47,2274085097,MKL (Day),"close is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 12 within 2 bars and StochRSI("rsi length" = 13, "k period" = 21, "d period" = 5)."FullK" is less than or equal to 12 True",False,Reverse crossover: Silent,Active
4/30/23 09:39:02,2252022812,META (Day),DIPlus("length" = 5) is less than or equal to 10 True,False,,Active
8/24/22 08:46:07,2071091105,MELI (Day),"low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 8 and shared_rp_wsb_MACD()."Diff" is greater than or equal to shared_rp_wsb_MACD()."Diff" from 1 bars ago within 2 bars and DIaf("aggregation" = "Select", "select" = "THREE_DAYS")."DIr" is less than or equal to 8.5 and DIaf("aggregation" = "Select", "select" = "WEEK")."DIr" is less than or equal to 11 True",False,Reverse crossover: Silent,Active
11/10/22 09:31:36,2132080608,MDB (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 10.2 and shared_rp_wsb_StochRSI()."D" is less than or equal to 27 and MACD3day()."Diff" is greater than or equal to MACD3day()."Diff" from 1 bars ago True,False,Reverse crossover: Silent,Active
1/4/23 09:30:16,2167179089,MCD (Day),"DIaf("aggregation" = "Select", "select" = "WEEK")."DIr" is less than or equal to 19.2 and low is less than or equal to reference BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 9 and ( BollingerBandTopIsFlattish("tolerance" = 0.5) is true or BollingerBandBottomIsDeclining() is true ) True",False,Reverse crossover: Silent,Active
4/25/23 13:21:03,2248738301,LVS (Day),high is greater than or equal to shared_rp_wsb_BollingerBand()."UpperBand" and shared_rp_wsb_DMI()."DIg" is less than or equal to 7 True,False,Reverse crossover: Silent,Active
6/1/23 11:59:33,2274773681,LVS (Day),DIPlus("length" = 5) is less than or equal to 5 and DIMinus("length" = 5) is greater than or equal to 37.5 and low is less than or equal to BollingerBands("length" = 21)."LowerBand" True,False,Reverse crossover: Silent,Active
6/1/23 16:00:07,2275104093,LULU (Day),low is less than or equal to BollingerBands("length" = 21)."LowerBand" and DIPlus("length" = 5) is less than or equal to 9.7 and shared_rp_wsb_MACD()."Value" is less than or equal to -4.3 and shared_rp_wsb_StochRSI()."D" is less than or equal to 20 True,False,Reverse crossover: Silent,Active
